model,eps,synth_seed,intervention,accuracy,auc,dp_gap,eo_gap,dp_gap_unm,eo_gap_unm,dp_ratio,eo_ratio
logreg,8.0,8.0,reweighting,0.7618889428359696,0.8290801620291677,0.2859358370077542,0.5277777777777778,0.3251938309161618,0.5166666666666666,0.8792781714283853,1.0215053763440862
logreg,8.0,8.0,expgrad,0.7565226279610558,0.746040701916141,0.2573513760072981,0.6,0.3251938309161618,0.5166666666666666,0.7913784074017256,1.1612903225806452
logreg,8.0,8.0,threshold,0.7445123041933918,0.8320483211745474,0.179847374074249,0.4,0.3251938309161618,0.5166666666666666,0.5530466970039646,0.7741935483870969
logreg,8.0,9.0,reweighting,0.7632432984948765,0.8302006434287237,0.2842633419492169,0.5,0.3169530180933556,0.5,0.8968627074738558,1.0
logreg,8.0,9.0,expgrad,0.757365906012828,0.7489089896152639,0.376595744680851,0.5,0.3169530180933556,0.5,1.188175291550397,1.0
logreg,8.0,9.0,threshold,0.7486009250504689,0.8331949222796021,0.2158925850562404,0.4166666666666666,0.3169530180933556,0.5,0.6811501160485912,0.8333333333333331
xgboost,inf,-1.0,reweighting,0.8168808933636573,0.8989804307874458,0.2640413562414475,0.35,0.3928114471230742,0.6077777777777778,0.6721834564019694,0.5758683729433273
xgboost,inf,-1.0,expgrad,0.8114890246083868,0.8059159632690238,0.2673863463585221,0.4,0.3928114471230742,0.6077777777777778,0.6806989671936562,0.6581352833638027
xgboost,inf,-1.0,threshold,0.7849129890373854,0.902561612405254,0.1716279447287825,0.2222222222222222,0.3928114471230742,0.6077777777777778,0.43692195323169564,0.3656307129798903
xgboost,1.0,0.0,reweighting,0.7606623565788465,0.8317093046664026,0.3430717620075116,0.5833333333333333,0.3715041780026462,0.6433333333333333,0.9234667665166014,0.9067357512953367
xgboost,1.0,0.0,expgrad,0.7616589579127591,0.7465167902135033,0.3287795315072835,0.55,0.3715041780026462,0.6433333333333333,0.8849955154607754,0.8549222797927463
xgboost,1.0,0.0,threshold,0.7343929675721258,0.8320091065381826,0.3949521058233237,0.4020618556701031,0.3715041780026462,0.6433333333333333,1.0631161887512084,0.6249666150312484
xgboost,1.0,1.0,reweighting,0.7694273375412056,0.8360970468699388,0.3622294326780302,0.5566666666666666,0.3818432383645134,0.6211111111111112,0.9486338797814208,0.8962432915921287
